id,class
validation.00596.au,hiphop
validation.02436.au,reggae
validation.02930.au,classical
validation.03364.au,country
validation.03550.au,country
validation.04625.au,classical
validation.07561.au,reggae
validation.07642.au,country
validation.09065.au,classical
validation.09885.au,metal
validation.12150.au,jazz
validation.13350.au,classical
validation.16676.au,blues
validation.17817.au,hiphop
validation.18392.au,hiphop
validation.18794.au,country
validation.18828.au,jazz
validation.19082.au,country
validation.21589.au,blues
validation.23193.au,classical
validation.23211.au,reggae
validation.23301.au,disco
validation.24620.au,pop
validation.25407.au,pop
validation.26050.au,blues
validation.26581.au,rock
validation.28540.au,disco
validation.28558.au,country
validation.29001.au,hiphop
validation.29659.au,hiphop
validation.30482.au,metal
validation.30768.au,blues
validation.32510.au,country
validation.32787.au,jazz
validation.33033.au,hiphop
validation.33529.au,rock
validation.34800.au,rock
validation.34835.au,country
validation.34938.au,country
validation.36126.au,classical
validation.39797.au,classical
validation.41870.au,metal
validation.43948.au,jazz
validation.44485.au,hiphop
validation.47303.au,classical
validation.49246.au,disco
validation.51339.au,disco
validation.51932.au,classical
validation.52165.au,reggae
validation.52376.au,reggae
validation.53339.au,pop
validation.54199.au,metal
validation.56037.au,jazz
validation.60352.au,classical
validation.62461.au,pop
validation.62917.au,pop
validation.64717.au,metal
validation.65355.au,metal
validation.66836.au,metal
validation.67898.au,pop
validation.68246.au,rock
validation.68504.au,pop
validation.68600.au,disco
validation.69645.au,disco
validation.70325.au,pop
validation.70514.au,disco
validation.70521.au,pop
validation.70709.au,rock
validation.71178.au,rock
validation.71558.au,hiphop
validation.72738.au,pop
validation.72918.au,disco
validation.73325.au,classical
validation.73749.au,country
validation.76427.au,blues
validation.76541.au,reggae
validation.77219.au,metal
validation.79401.au,reggae
validation.80325.au,classical
validation.80446.au,hiphop
validation.80480.au,disco
validation.81197.au,country
validation.84038.au,jazz
validation.86647.au,metal
validation.87593.au,metal
validation.87812.au,disco
validation.88839.au,pop
validation.89176.au,jazz
validation.89749.au,country
validation.91278.au,jazz
validation.91579.au,reggae
validation.93577.au,disco
validation.94066.au,jazz
validation.94863.au,country
validation.95021.au,classical
validation.95763.au,metal
validation.96483.au,reggae
validation.97080.au,classical
validation.97638.au,country
validation.97760.au,disco
